question,user query
What is the sales in 2020,What were the 2020 sales figures?
What is the sales in 2020,How much were the sales in 2020?
What is the sales in 2020,What was the sales volume in 2020?
What is the sales in 2020,What did the 2020 sales amount to?
What is the sales in 2020,What were the total sales for 2020?
What is the sales in 2020,How many sales were made in 2020?
What is the sales in 2020,What was the sales revenue in 2020?
What is the sales in 2020,What were the sales numbers for 2020?
What is the sales in 2020,How much revenue was generated from sales in 2020?
What is the sales in 2020,What was the total sales income in 2020?
What is the sales across months in 2020,What are the 2020 monthly sales figures?
What is the sales across months in 2020,How much were sales in each month of 2020?
What is the sales across months in 2020,What were the sales for each month in 2020?
What is the sales across months in 2020,Provide the sales data for all months in 2020.
What is the sales across months in 2020,What's the sales breakdown by month for 2020?
What is the sales across months in 2020,Show the 2020 sales numbers for each month.
What is the sales across months in 2020,What were the monthly sales totals in 2020?
What is the sales across months in 2020,How did sales perform across 2020's months?
What is the sales across months in 2020,"What are the sales numbers for 2020, month by month?"
What is the sales across months in 2020,Give the sales figures for every month in 2020.
What is the sales by sub category in 2020,What are the 2020 sales figures for each subcategory?
What is the sales by sub category in 2020,"In 2020, what were the sales numbers by subcategory?"
What is the sales by sub category in 2020,How much did each subcategory sell in 2020?
What is the sales by sub category in 2020,What were the subcategory sales in 2020?
What is the sales by sub category in 2020,"In 2020, what was the sales breakdown by subcategory?"
What is the sales by sub category in 2020,What were the sales amounts for subcategories in 2020?
What is the sales by sub category in 2020,How did subcategories perform in terms of sales in 2020?
What is the sales by sub category in 2020,What were the sales by subcategory for the year 2020?
What is the sales by sub category in 2020,What was the sales distribution among subcategories in 2020?
What is the sales by sub category in 2020,"In 2020, what were the sales by each subcategory?"
What is the sales by sub category across months in 2020,What are the 2020 monthly sales figures for each subcategory?
What is the sales by sub category across months in 2020,How much did each subcategory sell per month in 2020?
What is the sales by sub category across months in 2020,What were the monthly sales of subcategories in 2020?
What is the sales by sub category across months in 2020,"In 2020, what were the sales figures for subcategories each month?"
What is the sales by sub category across months in 2020,Provide the sales breakdown by subcategory for each month in 2020.
What is the sales by sub category across months in 2020,What were the sales by subcategory for every month of 2020?
What is the sales by sub category across months in 2020,How did subcategory sales perform on a monthly basis in 2020?
What is the sales by sub category across months in 2020,What were the 2020 sales numbers for subcategories month by month?
What is the sales by sub category across months in 2020,"In 2020, what were the monthly sales totals for each subcategory?"
What is the sales by sub category across months in 2020,Show the 2020 sales data for subcategories across all months.
What is the sales of phone in 2020,What were the 2020 phone sales figures?
What is the sales of phone in 2020,How many phones were sold in 2020?
What is the sales of phone in 2020,What's the total number of phone sales in 2020?
What is the sales of phone in 2020,Phone sales for 2020: what's the count?
What is the sales of phone in 2020,"In 2020, what were the phone sales?"
What is the sales of phone in 2020,What is the 2020 figure for phone sales?
What is the sales of phone in 2020,Total phone sales in 2020?
What is the sales of phone in 2020,2020's phone sales: what's the number?
